category_slug,title,video_id,vimeo_link,thumbnail_url
heavy-hiit,"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 9/21/20",460166694,https://vimeo.com/460166694/5e4342af52,https://i.vimeocdn.com/video/961288911-7a0c96b0c7cbe048e9ada32f2b646f49d2d8783e9a9bc2763a5cc9e539076dd6-d_295x166?region=us
hiit56-lower,Hiit 56 | Lower Body | with Susie Q | 9/21/20,460164118,https://vimeo.com/460164118/33d7cc8c4b,https://i.vimeocdn.com/video/961284433-c37559372556ee40bf9045e6e0757be1098ef59849a28201a6fd4965462ca676-d_295x166?region=us
hiit-21,Hiit 21 | MASSIVE CALORIE BURNER | with Pam | 9/20/20,459898571,https://vimeo.com/459898571/170fb94d5f,https://i.vimeocdn.com/video/960824757-99e954f53da43ac116aa1ccc79276089cb38aa550215d7399f53655562fa72c6-d_295x166?region=us
hiit56-specials,Hiit 56 | Shana Tova Saturday | with Susie Q | 9/19/20,459696122,https://vimeo.com/459696122/6e52f3655c,https://i.vimeocdn.com/video/960389675-1ce1dc0b2fc27c0a4b20580f2d9e0fa4ea20c2759208d186f344c79f8e86abb5-d_295x166?region=us
stretch-recovery,Stretch & Recovery | with Alberto | 9/18/20,459379511,https://vimeo.com/459379511/e6b1f2fd06,https://i.vimeocdn.com/video/959827622-7a1e053d2becc37bf44fde6a291ed6b877c0d7d76eaf76d6f103616137a9f862-d_295x166?region=us
hiit56-upper,Hiit 56 | Upper Body | with Susie Q | 9/18/20,459378397,https://vimeo.com/459378397/7d4a61d830,https://i.vimeocdn.com/video/959825492-c7740bbe8a35695f0baa899fce45bd1b7f897922c400c7b095330e481103ffa0-d_295x166?region=us
heavy-hiit,"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 9/17/20",459003209,https://vimeo.com/459003209/f990ee40a8,https://i.vimeocdn.com/video/959212172-290f942433dfe65722b125dac1864a5e851c595117ea6e1d2576a13db42fae81-d_295x166?region=us
hiit-kickboxing,Hiit Kickboxing | Advanced | with Trisha | 9/17/20,458999485,https://vimeo.com/458999485/c9136a2527,https://i.vimeocdn.com/video/959207454-6f33ceff0f651b31a357d33db987ec11b1bcb17a813bb584c986ec5151d0ddfb-d_295x166?region=us
hiit56-lower,Hiit 56 | Lower Body | with Pam & GiGi | 9/17/20,458957051,https://vimeo.com/458957051/00029f73bb,https://i.vimeocdn.com/video/959186986-7201e24bf8e1704f686bfcc766d8312305a36cbc36e2f5543225b1b350cf7af2-d_295x166?region=us
hiit-mobility,Hiit Mobility | with Alberto | 9/16/20,458570936,https://vimeo.com/458570936/e9718dae67,https://i.vimeocdn.com/video/958506611-92e5e4eee91f1243fbdcb9fe2c51fa4bf8e483f2a262d758f5d281ccefb417b0-d_295x166?region=us
hiit-21,Hiit 21 | Massive Calorie Blast | with Pam | 9/16/20,458561425,https://vimeo.com/458561425/13b650281c,https://i.vimeocdn.com/video/958492709-6f7c9b73d36927300b670001952dd4b123c671a2e546feb255785538b64878b3-d_295x166?region=us
hiit56-upper,Hiit 56 | Upper Body | with Susie Q | 9/15/20,458244460,https://vimeo.com/458244460/4e4ab919fd,https://i.vimeocdn.com/video/957981790-ed33a8439b9a659ceecea25a0abf7f2d98bd2fcd9ec7af7e8e4fd97cfc0ebe23-d_295x166?region=us
kids,Kids Hiit Funhouse | Right Left Tuesday | with Coach Tammy,458124784,https://vimeo.com/458124784/44991f774d,https://i.vimeocdn.com/video/957784816-fe9ec0115966e93852cf92ce815a4fb816dd7399971236e7d553f1952a681aec-d_295x166?region=us
hiit-kickboxing,Hiit Kickboxing | Beginner & Intermediate | with Trisha | 9/15/20,458124143,https://vimeo.com/458124143/1938925262,https://i.vimeocdn.com/video/957783942-78d087c279b89208910f65289ff26b130e44b18907b3c17d7a3e417b5853b2cc-d_295x166?region=us
hiit56-upper,Hiit 56 | Upper Body | with Susie Q | 9/15/20,458113719,https://vimeo.com/458113719/58e3a2abbf,https://i.vimeocdn.com/video/957768160-23f92fa37204f74d851beea3e28424ffd5927a72e4b15ff32c1c04fef5940d3b-d_295x166?region=us
heavy-hiit,"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 9/14/20",457897188,https://vimeo.com/457897188/f2710df0dc,https://i.vimeocdn.com/video/957412925-7763c3a5e7b0e207355d8307f35738eb567490f083f376fc4d08c2c768798025-d_295x166?region=us
hiit56-lower,Hiit 56 | Lower Body | with Gi Gi | 9/14/20,457742076,https://vimeo.com/457742076/372ab7e0cd,https://i.vimeocdn.com/video/957158169-6bf98275205a7163d3d9c7dda8a1dabaef8ab5d6f7c6a2e2e0a5b9f4817a515e-d_295x166?region=us
hiit-21,Hiit 21 | TOTAL AB DESTROYER | with Pam | 9/13/20,457479070,https://vimeo.com/457479070/b909178c0e,https://i.vimeocdn.com/video/956715338-5d344de38fd5bdbfe79dc8f9b794fbe2421cec3793eece5d8b3a2a33e2342e66-d_295x166?region=us
hiit56-specials,Hiit 56 | Freedom Saturday | with Susie Q | 9/12/20,457250762,https://vimeo.com/457250762/6d4eb00039,https://i.vimeocdn.com/video/956255858-fa0439fecf2e95cb66238f483de97cea23ccf63070efa6151a319b860fa5346d-d_295x166?region=us
stretch-recovery,Stretch & Recovery | with Alberto | 9/11/20,456952349,https://vimeo.com/456952349/532f21530c,https://i.vimeocdn.com/video/955741750-0d1ff4101ef76cef4aac3ee9bc593a727a880350973dbfe9b9e65dc0e42c1672-d_295x166?region=us
hiit56-upper,Hiit 56 | Upper Body | with GiGi | 9/11/20,456932077,https://vimeo.com/456932077/d7fa033c23,https://i.vimeocdn.com/video/955709543-6ed9cdad3a875bd8a87b5ce0b57a69a2b1e77b65c9a2b85c99cde5a449b6c19d-d_295x166?region=us
kids,Kids At Home Fit Funhouse |  Mix It Up Thursday | with Tammy | 9/10/20,456575531,https://vimeo.com/456575531/c49ae76df8,https://i.vimeocdn.com/video/955119669-2d82220b8e314647dc4155a09f95b8807a46580c7f998c9b3f93b6d551a47949-d_295x166?region=us
heavy-hiit,"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 9/10/20",456573833,https://vimeo.com/456573833/a93582231e,https://i.vimeocdn.com/video/955117042-bd9f92938510de3261180f52e8feb4502ab6c608d16c79551cb13658412025ec-d_295x166?region=us
hiit-kickboxing,Hiit Kickboxing | Advanced | with Trisha | 9/10/20,456573019,https://vimeo.com/456573019/72ada91b2a,https://i.vimeocdn.com/video/955115698-e972ff6f38c82b406a255a822ea22d04dd27cca63186a8e4f87f2f1b447c9575-d_295x166?region=us
hiit56-lower,Hiit 56 | Lower Body | with Susie Q | 9/10/20,456571831,https://vimeo.com/456571831/de72538844,https://i.vimeocdn.com/video/955114020-c3518c2482edeff603c175592fbb4ed957dd1bdc26704e0061f4bc215a6d55ff-d_295x166?region=us
hiit-mobility,Hiit Mobility | with Alberto | 9/9/20,456209675,https://vimeo.com/456209675/8421f09727,https://i.vimeocdn.com/video/954520966-e36c373965033c3e57641309d19af3109159f97799059fb6b154b16e1ff525c8-d_295x166?region=us
hiit-21,Hiit 21 | Massive Calorie Blast | with Pam | 9/9/20,456152584,https://vimeo.com/456152584/5e6ace6739,https://i.vimeocdn.com/video/954434122-c4e613348fd63640e50c3ac45e154414fca97dc6e77698dbec6c637191578646-d_295x166?region=us
hiit-kickboxing,Hiit Kickboxing | Beginner & Intermediate | with Trisha | 9/8/20,455960341,https://vimeo.com/455960341/b65133b52e,https://i.vimeocdn.com/video/954424701-18b6072e3cde0ec302cc5b6b479df953443788133e19f5400797119fd210461f-d_295x166?region=us
kids,Kids At Home Fit Funhouse | Jump into Tuesday | with Tammy,455931501,https://vimeo.com/455931501/92a531426d,https://i.vimeocdn.com/video/954046250-2317756eb13206f687061eabdc30e9da68b479c621d912c99339938839ed8e0f-d_295x166?region=us
hiit56-upper,Hiit 56 | Upper Body | with Susie Q | 9/8/20,455911744,https://vimeo.com/455911744/5439ea004f,
heavy-hiit,"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 9/7/20",455522212,https://vimeo.com/455522212/4655b07e10,https://i.vimeocdn.com/video/953366848-27c667aa0523709b2c6ea77b4bafe4c366df39e1a84b33e93727dae9320da3d1-d_295x166?region=us
hiit56-specials,Hiit 56 | LABOR DAY MASH-UP | with GiGi & Susie Q,455110721,https://vimeo.com/455110721/867ec8b0f2,https://i.vimeocdn.com/video/952625009-b2934927432e45288cc26ddacb2ddc8866d397c38e08419eb6b48e1a429a8c0d-d_295x166?region=us
hiit-21,Hiit 21 | MASSIVE CALORIE BURNER | with Pam | 9/6/20,455081961,https://vimeo.com/455081961/639b4c1c9c,https://i.vimeocdn.com/video/952559681-579da110facf8e06d6665ffaa9a5262443f1bd85f31b0e83eb6005fad224849e-d_295x166?region=us
hiit-class-archives,Hiit Class | Hawaiian Saturday | Total Body | with Susie Q | 9/5/20,455038753,https://vimeo.com/455038753/50144b0058,https://i.vimeocdn.com/video/952540427-bead4b2920f56103f3dd9b14f288afc65917a955d0fe51af059afd93c7674888-d_295x166?region=us
kids,Kids Hiit Funhouse | Labor Day Lunges | with Coach Tammy,454877098,https://vimeo.com/454877098/dba6674a27,https://i.vimeocdn.com/video/952158543-e9e6bd2a316885ac9edf7cfff8a6d15f179cf36b81fa8e9da890295ed2da08ce-d_295x166?region=us
heavy-hiit,"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 9/3/20",454864448,https://vimeo.com/454864448/6c352ee1a3,https://i.vimeocdn.com/video/952146431-1ecfbaabb3263e4ce5d1eb9cbd2a7ff2c569fbfd91263e6659fac6a512294780-d_295x166?region=us
hiit-kickboxing,Hiit Kickboxing | Advanced | with Trisha | 9/3/20,454864162,https://vimeo.com/454864162/55b9aaab8d,https://i.vimeocdn.com/video/952146230-27c564e03aa99ba0af765d4d12d3d3db9fe813b6eba87a6fdbb713d30b64bc4d-d_295x166?region=us
hiit56-upper,Hiit 56 | Upper Body | with GiGi | 9/4/20,454774043,https://vimeo.com/454774043/1f5fd92760,https://i.vimeocdn.com/video/952151951-fd59903c342868fc1756bb2098576599683964f24c19f1337969554565709b28-d_295x166?region=us
hiit56-lower,Hiit 56 | Lower Body | with Susie Q | 9/3/20,454578946,https://vimeo.com/454578946/baa614fe7b,https://i.vimeocdn.com/video/951686797-38c98ebfe82ab566d7f1d0f0bc8cc84b53d074d009e87290c84f677a80fefa6d-d_295x166?region=us
hiit56-lower,Hiit 56 | Lower Body | with Susie Q | 9/3/20,454554389,https://vimeo.com/454554389/2db7397dff,https://i.vimeocdn.com/video/951619953-df163b3914ee95e046cfa4f1b00099667011e8f82569396d4bdac0bacf2fffd7-d_295x166?region=us
hiit-mobility,Hiit Mobility | with Alberto | 9/2/20,454174824,https://vimeo.com/454174824/01751ad87d,https://i.vimeocdn.com/video/950982954-805588a1e9fdedfbe9dfa515ee53c804a75b6ee3f7e60d60f07f4b515b74d79d-d_295x166?region=us
hiit56-upper,Hiit 56 | Upper Body | with Susie Q | 9/1/20,453737909,https://vimeo.com/453737909/8f29b1010a,https://i.vimeocdn.com/video/950362015-492b6b3052fdc8c4fc0ee2d55047ed0a480fd731d223d6a2163c5c1a6bf52b24-d_295x166?region=us
kids,Kids Hiit Funhouse | Walk the Plank...Arrr! | with Coach Tammy,453660953,https://vimeo.com/453660953/25bb761cdc,https://i.vimeocdn.com/video/950123843-b64f2d0c8252fccc6dbd382ec2efd811213d38074c90eb7f125421c9b7ff728a-d_295x166?region=us
hiit-kickboxing,Hiit Kickboxing | Beginner/Intermediate | with Trisha | 9/1/20,453647215,https://vimeo.com/453647215/1d9404b026,https://i.vimeocdn.com/video/950103020-bcf077453c112c1fbb8263a25e2e1aee4784e116d91a852ecc0fab263f0b5f88-d_295x166?region=us
heavy-hiit,"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 8/31/20",453272791,https://vimeo.com/453272791/6405acc763,https://i.vimeocdn.com/video/949475043-8233de117196f9651c1c8f832ec46e9d8cc526c6fdb1800b8e216e70ac9e5840-d_295x166?region=us
hiit56-lower,Hiit 56 | Lower Body | with Pam | 8/31/20,453264589,https://vimeo.com/453264589/9f4416cfd4,https://i.vimeocdn.com/video/949462549-741c3055e20692902d06e5e508e2b7c091e7bc2cb11fcde8985547cffb485262-d_295x166?region=us
hiit-21,Hiit 21 | Massive Calorie Blast | with Pam | 8/30/20,453033419,https://vimeo.com/453033419/f44386132b,https://i.vimeocdn.com/video/949046880-51c72a464ccf9e56c568d94401f14910963ed19f9b40c407a11c9320cbf150f3-d_295x166?region=us
