video_id,title,vimeo_link,final_category,final_category_slug,was_folded_archives
415940744,Hiit Class | with Susie Q | 5/7/20,https://vimeo.com/415940744/2089f4f002,HIIT,hiit,True
415149107,Hiit Class | CINCO DE MAYO | with Susie Q,https://vimeo.com/415149107/9669888b99,HIIT,hiit,True
414737453,Hiit Class | with Susie Q | 5/4/20,https://vimeo.com/414737453/a961d4f0b1,HIIT,hiit,True
414249054,Hiit Class | SPORTS SATURDAY | with Susie Q,https://vimeo.com/414249054/0aefab9f18,HIIT,hiit,True
413940680,Hiit Class | with Susie Q | 5/1/20,https://vimeo.com/413940680/5a10fc5e58,HIIT,hiit,True
413573740,Hiit Class | with Susie Q | 4/3020,https://vimeo.com/413573740/9d5816632b,HIIT,hiit,True
412772407,Hiit Class | Testosterone Tuesday | with Susie Q | 4/28/20,https://vimeo.com/412772407/7a85b983b7,HIIT,hiit,True
412693852,Hiit Class | with Susie Q | 4/28/20,https://vimeo.com/412693852/bd50102a29,HIIT,hiit,True
412329136,Hiit Class | with Susie Q | 4/27/20,https://vimeo.com/412329136/38573dc9f5,HIIT,hiit,True
411398032,Hiit Class | with Susie Q | 4/24/20,https://vimeo.com/411398032/ce371443ae,HIIT,hiit,True
410796880,Hiit Class | with Susie Q | 4/23/20,https://vimeo.com/410796880/b2d911dba4,HIIT,hiit,True
409998671,Hiit Class | with Susie Q | 4/21/20,https://vimeo.com/409998671/6d694e3e18,HIIT,hiit,True
409780800,Hiit Class | with Susie Q | 4/20/20,https://vimeo.com/409780800/1464f38d20,HIIT,hiit,True
