title,video_id,vimeo_link,category,final_category,final_category_slug,was_overridden,was_folded_archives
Hiit 56 | Lower Body | with Gi Gi | 10/22/20,470974926,https://vimeo.com/470974926/5d58a2617e,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 10/19/20",470970380,https://vimeo.com/470970380/f00bfc65b9,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
Hiit Beginner | Total Body | with Alberto | 10/21/20,470612739,https://vimeo.com/470612739/07cbc57f6a,HIIT Beginner,HIIT Beginner,hiit-beginner,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 10/21/20,470571907,https://vimeo.com/470571907/b9eef42f80,HIIT 21,HIIT 21,hiit-21,False,False
Hiit 56 | Upper Body | with GiGi | 10/20/20,470328802,https://vimeo.com/470328802/49c2fb07d2,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Kids Hiit Funhouse | with Coach Tammy,470327573,https://vimeo.com/470327573/5245984fa4,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
Hiit 56 | Upper Body | with Susie Q | 10/20/20,470203605,https://vimeo.com/470203605/dbb797203d,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 10/18/20,469466229,https://vimeo.com/469466229/90c687d21f,HIIT 21,HIIT 21,hiit-21,False,False
Hiit 56 | Get Out & Vote Saturday | with Susie Q | 10/17/20,469273210,https://vimeo.com/469273210/5890f729c3,HIIT,HIIT,hiit,False,False
Kids Hiit Funhouse | Thursday Rewind | with Coach Tammy,469088663,https://vimeo.com/469088663/7532856985,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 10/15/20",469072330,https://vimeo.com/469072330/17600e65ff,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
Hiit 56 | Upper Body | with Gi Gi | 10/16/20,468928079,https://vimeo.com/468928079/a42e00e13c,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit 56 | Lower Body | with Gi Gi | 10/15/20,468568647,https://vimeo.com/468568647/537cbb812e,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 10/14//20,468166895,https://vimeo.com/468166895/35b3c565a8,HIIT 21,HIIT 21,hiit-21,False,False
Kids Hiit Funhouse | with Coach Tammy | 10/13/20,467876744,https://vimeo.com/467876744/19f07448ef,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
Hiit 56 | Upper Body | with Susie Q | 10/12/20,467741004,https://vimeo.com/467741004/e433170414,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 10/12/20",467726159,https://vimeo.com/467726159/e9693b8fd6,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
Hiit 56 | Lower Body | with Gi Gi | 10/12/20,467432638,https://vimeo.com/467432638/95cd262fab,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 10/11/20,467366276,https://vimeo.com/467366276/8efa80e812,HIIT 21,HIIT 21,hiit-21,False,False
Hiit 56 | New World Saturday | with Susie Q,466857627,https://vimeo.com/466857627/75436a588c,HIIT,HIIT,hiit,False,False
Stretch & Recovery | with Alberto | 10/9/20,466573180,https://vimeo.com/466573180/6aec66eebb,Stretch & Recovery,Stretch & Recovery,stretch-recovery,False,False
Hiit 56 | Upper Body | with Susie Q | 10/9/20,466572418,https://vimeo.com/466572418/1633d3e61b,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Kids Hiit Funhouse | Tap It Out | with Coach Tammy,466281762,https://vimeo.com/466281762/8f0f2bc16e,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 10/8/20",466280832,https://vimeo.com/466280832/bf0c235ea9,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
Hiit 56 | Lower Body | with Gi Gi | 10/8/20,466206556,https://vimeo.com/466206556/aa69143108,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit Mobility | with Alberto | 10/7/20,466012509,https://vimeo.com/466012509/c02b8efc99,HIIT Beginner,HIIT Beginner,hiit-beginner,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 10/7/20,465946602,https://vimeo.com/465946602/557874b3bc,HIIT 21,HIIT 21,hiit-21,False,False
Hiit Mobility | with Alberto | 10/7/20,465794461,https://vimeo.com/465794461/2e519592f7,HIIT Beginner,HIIT Beginner,hiit-beginner,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 10/7/20,465784284,https://vimeo.com/465784284/0afe6b1889,HIIT 21,HIIT 21,hiit-21,False,False
Kids Hiit Funhouse | Bench Mark Tuesday | with Coach Tammy,465517880,https://vimeo.com/465517880/0d904425c5,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
